facebook.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
twitter.com,ok,https://abs.twimg.com/errors/logo46x38.png,126.75861992901551
ask.com,ok,https://www.ask.com/wp-content/uploads/sites/3/2022/05/cs.svg,386.6514220441993
att.com,ok,https://www.att.com/ecms/dam/att/consumer/global/logos/att_globe_500x500.jpg,68.57583541187998
go.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
indeed.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
verizonwireless.com,"Failed, this website is off or blocked our connection"
godaddy.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
directv.com,ok,https://www.directv.com/dtvassets/global/logos/dtv/directv/directv_hz_rgb_pos.svg,276.19362888937474
whitepages.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
surveymonkey.com,ok,https://prod.smassets.net/assets/cms/sm/uploads//Verizon-logo-2x.png,1085.107422436683
comcast.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
t-mobile.com,ok,https://www.t-mobile.com//content/dam/tmobile/es/devices/t-mobile/revvl-6-pro-5g/T-Mobile_REVVL-6-PRO-5G_Logo_Horiz_Stand-Alone_Ltd-Use_RGB_W.png,245.08296993363817
aol.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
verizon.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
shopify.com,ok,https://cdn.shopify.com/shopifycloud/brochure/assets/ui-illustrations/admin/summary-sales-d189a935ed9ba5270c6bcdf4bce11525f3a159d75cfb2f927f89f7ad71621f7a.svg,220.20950583285133
sprint.com,ok,https://www.t-mobile.com/?src=spr&rdpage=//content/dam/tmobile/es/devices/t-mobile/revvl-6-pro-5g/T-Mobile_REVVL-6-PRO-5G_Logo_Horiz_Stand-Alone_Ltd-Use_RGB_W.png,245.08296993363817
spokeo.com,ok,https://www.spokeo.com/assets/v10/shared/v10_logo_1200x630.png,64.39928037054958
bing.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
lg.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
timewarnercable.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
constantcontact.com,ok,https://www.constantcontact.com///images.ctfassets.net/t21gix3kzulv/3go4DdM3AGOj2dgp5P8o5z/c98fc90d50ba39939e314938e83c38ca/Homepage-final-cta-background-desktop.png,407.4810698706176
zoho.com,ok,https://www.zoho.com/pt-br///www.zohowebstatic.com/sites/default/files/zoholics-logo.png,338.91969183245624
wix.com,ok,"https://static.wixstatic.com/media/311dce_15b96742583a4c9d8d6e4b87e8655e73~mv2.jpg/v1/fill/w_84,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/10%20Web%20Design%20Trends%20to%20Look%20Out%20For%20in%202022_desktop.jpg",351.06318639776595
gotomeeting.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
dish.com,"Failed, this website is off or blocked our connection"
shareasale.com,ok,https://www.shareasale.com/info///localhost:3000:3000/share-sale/wp-content/uploads/2018/07/footer-logos.png,255.24323987632857
intelius.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
charter.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bizrate.com,ok,https://s2.cnnx.io/s2static/us/br/0d72cf45/br3/images/br-logo-120x120.png,215.33767042491667
conduit.com,ok,http://static-marketing.como.com/images/site/2017/03/logo_swiftic_share_fb.png,102.24603345507313
mediaplex.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
webs.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
about.com,ok,https://www.dotdashmeredith.com//img/cascade/serious-eats.jpg,125.23993745711795
blackberry.com,ok,https://www.blackberry.com/etc.clientlibs/bbcom/clientlibs/clientlib-etc-legacy/resources/cylance-web/global/bb-default-thumbnail-social.png,447.6329147084051
hubspot.com,ok,https://www.hubspot.com/hubfs/assets/hubspot.com/home/home_page_logos_June_2019/VMware_logo_gry_RGB_300dpi@2x.png,2678.683767591742
centurylink.com,ok,https://www.centurylink.com//assets/images/page-components/global-menu/centurylink-logo-tablet.svg,501.56420536194514
skype.com,ok,https://secure.skypeassets.com/apollo/2.1.1786/images/icons/apple-touch-icon.png,130.41962972348378
exacttarget.com,ok,https://www.salesforce.com/products/marketing-cloud/email-marketing/?d=www.exacttarget.com/&internal=true&bc=HL//www.salesforce.com/content/dam/web/en_us/www/images/marketing-cloud/products/resource-module-background-mobile.jpg,717.0822799962443
motorola.com,ok,https://motorolaimgrepo.vtexassets.com/arquivos/motorola-2.svg,495.8057662353453
reachlocal.com,ok,https://www.reachlocal.com/sites/default/files/logos/snapchat_rl_logo.png,403.9279179611916
peoplefinders.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
qualcomm.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
hostgator.com,ok,https://www.hostgator.com///images.ctfassets.net/ztqkislsfsqt/7areQ8i74hO8R9a79M8uSk/9ab5d7f8c8785880971adb93ba7e2b5a/SharedHosting-Yellow.svg,58.164810264959875
rackspace.com,"Failed, this website is off or blocked our connection"
cox.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
box.com,ok,https://cdn03.boxcdn.net/sites/default/files/box_default_og_sharing_image/box-social.jpg,187.3728264080852
spiceworks.com,ok,http://www.spiceworks.com//wp-content/themes/gauge-child/images/users-migration-thum.svg,389.9655444542549
metropcs.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
verticalresponse.com,ok,https://verticalresponse.com/wp-content/themes/verticalresponse/assets/images/vr-logomark-white.svg,173.8295390150841
alot.com,ok,https://www.alot.com///assets.alot.com/assets/common/higher_education/u17343_60x60.jpg,115.53881781830447
zagg.com,ok,https://www.zagg.com/media/wysiwyg/Ancillary/zagg-protect-logo-large.png,504.33284716824113
webex.com,ok,https://www.webex.com//content/dam/wbx/us/images/rebrand/optimized/Call-from-any-device_img.jpg,424.0059309268113
otterbox.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
sulekha.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
formstack.com,ok,https://assets-global.website-files.com/5ebb0930dd82631397ddca92/60f9b2635d0d6aa64183aae2_element-logo-google-sheets-medium.png,177.76762778798206
msn.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mylife.com,"Failed, this website is off or blocked our connection"
rdio.com,"Failed, this website is off or blocked our connection"
icontact.com,ok,https://www.icontact.com/wp-content/uploads/WFU_Univ_V_RGB-109.png,957.5780222314629
ning.com,ok,https://www.ning.com///cdn.ning.com/wp-content/themes/ning/assets/img/ui/logo_b.png,504.92200178807616
virginmobileusa.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
avaya.com,ok,https://www.avaya.com/static/avaya/assets/images/avaya-logo-vertical-white.png,271.66994460238163
bigcommerce.com,ok,https://www-cdn.bigcommerce.com/assets/BigCommerce-logomark-whitebg-SUPPORT-UKRAINE.svg,648.4757666953149
yandex.ru,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
nokia.com,"Failed, this website is off or blocked our connection"
univision.com,ok,https://st1.uvnimg.com/dims4/default/316667c/2147483647/thumbnail/1240x698/quality/75/?url=http%3A%2F%2Fuvn-brightspot.s3.amazonaws.com%2Fa8%2Fa8%2Fa07b20854d2f848ac3d26d57fce4%2Funivisionlogo.jpg,282.98238241188
jawbone.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
rakuten.co.jp,"Failed, this website is off or blocked our connection"
networksolutions.com,ok,https://www.networksolutions.com/config/cloudflare-captcha-page/_jcr_content/root/section/responsivecolumns/column-0/image.coreimg.jpeg/1614010077779/ns-logo-154px-x-58px.jpeg,1060.5359877343835
8x8.com,ok,https://www.8x8.com/zendesk-logo.png,91.82142944847119
vonage.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
baidu.com,ok,http://ss.bdimg.com/static/superman/img/qrcode/qrcode-hover@2x-f9b106a848.png,37.73147646736929
business.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mitel.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
bluehost.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
sonymobile.com,ok,https://d1ncau8tqf99kp.cloudfront.net/media/sony-logo-200.png,74.28675090982084
ringcentral.com,ok,https://www.ringcentral.com/content/dam/rc-www/en_us/images/content/home-page/freemium-redesign/hp-og-image.jpeg,217.19996429821515
paltalk.com,ok,https://www.paltalk.com//sites/all/themes/ptcom/img/btn-osx.png,80.98126501186547
sharefile.com,ok,https://www.sharefile.com//content/dam/sf/images/banners/sf_landing_hero_bg.jpg,36.66001557704198
campusexplorer.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
riverbed.com,ok,https://www.riverbed.com/sites/default/files/2022-04/rvbd-og-platform-800x40.png,162.446286
marinsoftware.com,ok,https://assets-global.website-files.com/60ffbc3a211dee0d1874db96/61425db74220f69f11c7882a_Criteo_logo21.svg,6166.372793192858
mycricket.com,ok,https://www.cricketwireless.com/?utm_campaign=parked-www.mycricket.com&utm_source=parked-redirect/uiassets/bts_hbomax_2022-secondary.png,175.60197979757683
gotowebinar.com,"Failed, this website probably use a svg/css html element on logo or blocked our connection"
mail.com,ok,https://s.uicdn.com/mailint/9.2040.0/assets/header/logo_mobile.png,363.676483468055
atdmt.com,"Failed, this website is off or blocked our connection"
